电影名,导演,编剧,演员,上映时间,片长,类型,评分
周杰伦无与伦比演唱会,周杰伦,暂无编剧信息,周杰伦,2004-10-02(中国台湾),145分钟,音乐,9.7
角斗士 Gladiator,雷德利·斯科特,"大卫·弗兰佐尼,约翰·洛根,威廉姆·尼克尔森","罗素·克劳,华金·菲尼克斯,康妮·尼尔森,奥列佛·里德,理查德·哈里斯,德里克·雅各比,杰曼·翰苏,大卫·斯科菲尔德,约翰·斯拉普内尔,托马斯·阿拉纳,拉尔夫·莫勒,斯宾塞·崔特·克拉克,戴维·海明斯,汤米·弗拉纳根,史文-欧尔·托尔森,欧米德·吉亚李利,Chris Kell,托尼·库兰,大卫·拜利,艾尔·阿什顿,Ray Calleja,詹妮娜·法西奥,乔治·坎塔里尼,阿兰·柯德勒,Michael Mellinger,亚当·利维,吉力·吉尔克里斯特,Kjeld Gogosha-Clark,尼克·梅因,若昂·科斯塔·梅内塞斯,迈克·米切尔,Norman Campbell Rees,布瑞恩·斯米吉",2000-05-05(美国),155分钟,剧情,8.5
外出就餐3：饕餮自助 Eating Out 3: All You Can Eat,葛伦·盖洛,"菲利普·J·巴特尔,亚伦·布洛卡","利百加·科汉,克里斯·萨尔瓦多,迈克尔E.R.沃克,敏科·斯荳,莱斯利·乔丹,素玛立·蒙塔诺,丹尼尔·史柯顿,Julia Cho,John Stallings,Maximiliano Torandell,Cristina Balmores,Rick D'Agostino,塔比瑟泰勒,Greg McKeon,Ryan Adames",2009-10-09,80分钟,喜剧,6.6
蝴蝶效应2 The Butterfly Effect 2,约翰·R·莱昂耐迪,Michael D. Weiss,"埃里克·里夫利,埃莉卡·杜兰斯,达斯汀·米利甘,吉娜·赫尔顿,林赛·麦克斯维尔",2006-10-10(美国),92分钟,剧情,6.1
铁血柔情 Love Me Tender,罗伯特·D·韦布,"莫里斯·杰拉蒂,罗伯特·巴克纳","Richard Egan,Debra Paget,Elvis Presley",1956-11-15,89 分钟,剧情,7.2
王的男妃,曹毅,曹毅,"孔雀哥哥,周爽丽,于洋,李欣泽,郑德,王思聪,刘梓晨",2017-07-19(中国大陆),124分钟,灾难,暂无电影评分
键盘上的鬣狗 正式版 건반위의하이에나,郑亨敦,暂无编剧信息,"郑亨敦,李星和,任炫植,郑在型,sleepy",2018-03-02(韩国),暂无电影时长,音乐,8.4
冰川时代 Ice Age,卡洛斯·沙尔丹哈,"迈克尔·伯格 ,迈克尔·J·威尔森,彼得·阿克曼","雷·罗马诺,约翰·雷吉扎莫,丹尼斯·利瑞,杰克·布莱克",2002-03-15(美国),81 分钟,喜剧,8.6
危情雪夜,陈国星,郝建,"陶泽如,吴越,高明,何冰,马伊琍,张涵予",2004-02-20(中国大陆),84分钟,剧情,5.9
李尔王 Great Performances: King Lear,特雷弗·纳恩,莎士比亚,"伊恩·麦克莱恩,菲利普·文切斯特,弗兰西斯·巴贝,莫妮卡·杜兰,萝玛拉·嘉瑞,西尔维斯特·迈可伊,乔纳森·海德,约翰·赫夫南,Ben Meyjes,威廉姆·格奥特,Guy Williams,Julian Harries,Russell Byrne,David Weston,Peter Hinton",2008-10-06(英国),150 分钟(美国),剧情,8.3
极限特工2 xXx: State of the Union,李·塔玛霍瑞,西蒙·金伯格,"艾斯·库珀,塞缪尔·杰克逊,威廉·达福,斯科特·斯比德曼,彼得·斯特劳斯,桑妮·马布雷,诺娜·加耶",2005-06-17(中国大陆),101 分钟,动作,6.6
大逃杀 バトル・ロワイアル,深作欣二,"深作健太,高见广春","藤原龙也,前田亚季,山本太郎,北野武,栗山千明,高冈奏辅,塚本高史,小谷幸弘,石川绘里,神谷凉,三村恭代,岛田礼,井上亚纪,松泽莲,本田博仁,新田亮,池田早矢加,永田杏奈,金泽祐香利,加藤操,日向瞳,石井里弥,金井爱砂美,花村怜美,柴田阳亮,乡志郎,增田裕生,广川茂树,三原珠纪,岛木智实,佐野泰臣,日下慎,西村豪起,山口森广,大西修,横道智,内藤淳一,木下统耶子,关口真衣,马场乔子,野见山晴可,岩村爱子,前田爱,美波,山村美智子,利根川寿寿花,诹访太朗,片冈礼子,谷口节,中井出健,深浦加奈子,宫村优子,柴崎幸,安藤政信,伊尔琳·菲茨杰拉德,斯蒂芬妮·社,John Snyder,斯派克·斯潘塞,Kaiji Tang,Julie Ann Taylor",2000-12-16(日本),114分钟,剧情,8.0
蜀山奇侠,萧笙,"林少枝,钟政良,吴玉章,曾广平","杨宝玲,李婉华,李丽丽,龚慈恩,关礼杰",1990-05-28(中国香港),暂无电影时长,爱情,8.2
范海辛 Van Helsing,斯蒂芬·索莫斯,斯蒂芬·索莫斯,"休·杰克曼,凯特·贝金赛尔,理查德·劳斯伯格,大卫·文翰,舒勒·汉斯利,埃伦娜·安纳亚,威尔·坎普,凯文·J·奥康纳,艾伦·阿姆斯特朗,希薇娅·克洛卡,约希·麦兰,汤姆·费舍尔,萨缪尔·韦斯特,罗彼·考特拉尼,Stephen Fisher,Dana Moravková,马雷克·瓦苏特,Laurence Racine,马丁·科勒巴,Allison Queal",2004-05-03(美国),131 分钟,剧情,7.1
三生三世枕上书,杨玄,"梁振华,胡雅婷,黄姗姗,何庆平","迪丽热巴,高伟光,陈楚河,郭品超,刘雨欣,刘芮麟,王骁,李东恒,袁雨萱,黄俊捷",2020-01-22(中国大陆),暂无电影时长,剧情,6.5
芭啦芭啦樱之花,马楚成,陈淑贤,"郭富城,张柏芝,阿牛,韩雪,恬妞",2001-07-26(中国大陆/香港),101分钟,剧情,6.1
中国有嘻哈,车澈,岑俊义,"吴亦凡,张震岳,姚中仁,潘玮柏",2017-06-24(中国大陆),暂无电影时长,音乐,7.2
伟大的寂静 Il grande silenzio,赛尔乔·科尔布奇,"马里奥·阿门多拉,布鲁诺·科尔布奇,赛尔乔·科尔布奇,Vittoriano Petrilli","让-路易·特兰蒂尼昂,克劳斯·金斯基,弗兰克·沃尔夫",1968-11-19(意大利),105 分钟,剧情,7.5
茜茜公主2 Sissi - Die junge Kaiserin,恩斯特·马里施卡,恩斯特·马里施卡,"罗密·施奈德,卡尔海因茨·伯姆,玛格达·施奈德,古斯塔夫·克努特,威尔玛·德吉舍尔",1956-12-19,107 分钟,剧情,8.4
牧场之家好做伴 A Prairie Home Companion,罗伯特·奥特曼,加里森·凯勒尔,"梅丽尔·斯特里普,莉莉·汤姆林,伍迪·哈里森,琳赛·洛翰,汤米·李·琼斯,加里森·凯勒尔,凯文·克莱恩,维吉妮娅·马德森,约翰·C·赖利,玛娅·鲁道夫",2006-06-09,105 分钟,剧情,7.7
失忆风云 4Got10 (2015),Timothy Woodward Jr.,Sean Ryan,"约翰尼·梅辛纳,杜夫·龙格尔,丹尼·特雷霍",2015-09-11,84分钟,动作,4.9
非常完美,金依萌,金依萌,"章子怡,范冰冰,何润东,苏志燮,姚晨,林心如,王姬",2009-08-14,107 分钟,喜剧,5.9
